temp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21
0.8,3,5,2,4,5,1,5,2,4,6,1,2,3,5,1,4,4,2,2,5,6
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,4,5,1,5,4,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,4,3,2,2,4,3
0.8,3,5,2,4,5,1,5,3,6,4,1,2,3,4,1,5,4,2,2,6,1
0.8,2,5,1,3,4,2,5,1,6,3,1,2,3,4,5,6,3,2,1,4,3
0.8,3,5,2,4,5,1,5,3,6,4,1,2,3,5,1,5,4,2,2,4,1
0.8,3,5,1,3,4,2,5,1,4,6,2,1,3,4,5,6,3,2,1,4,6
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,3,5,2,4,5,1,5,2,6,3,1,2,4,6,1,5,4,2,2,6,3
0.8,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,5,4,2,1,6,1
0.8,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,6,4
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,2,1,4,5
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,4,3,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,1,4,1,3,5,2,5,2,4,3,1,1,3,5,2,4,3,1,1,4,3
0.8,3,5,1,2,4,3,5,1,4,2,1,1,3,4,3,4,2,1,1,4,2
0.8,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,6,4
0.8,3,5,2,4,5,1,5,3,6,4,2,1,3,4,1,5,4,2,1,6,1
0.8,1,4,1,3,5,2,5,2,4,3,1,1,3,6,2,4,3,2,1,4,3
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,3,1,1,4,3
0.8,1,5,1,3,4,2,5,1,6,2,1,1,3,4,2,5,3,1,1,4,2
0.8,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,5
0.8,3,5,2,3,4,1,5,2,4,6,1,2,3,4,1,5,3,2,2,4,6
0.8,1,4,1,2,5,1,5,2,4,3,1,1,3,6,1,5,2,1,1,4,3
0.8,3,5,2,4,5,1,5,2,6,3,1,2,4,6,1,5,4,2,2,6,3
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,1,4,2,3,5,1,5,2,4,3,1,2,3,5,1,5,3,2,2,4,3
0.8,1,4,2,3,5,1,5,2,4,3,1,2,3,5,1,4,3,2,2,4,3
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,1,1,4,2
0.8,1,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,1,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,4,4,2,2,5,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,1,4,1,2,3,1,5,2,3,6,1,1,3,4,2,5,2,1,1,3,6
0.8,1,3,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,1,1,4,3
0.8,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,5,4,2,1,6,1
0.8,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,6,1
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,3,1,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,6,4,2,1,6,4
0.8,1,5,1,3,4,2,5,1,6,3,2,1,3,4,2,5,3,1,1,4,2
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,3,5,2,4,5,1,5,2,6,3,1,2,4,5,1,5,4,2,2,6,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,3,4,1,5,4,2,2,4,3
0.8,3,5,2,4,5,1,5,2,6,3,1,2,4,6,1,5,4,2,2,6,3
0.8,1,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,1,4,1,3,5,2,5,2,4,3,1,1,3,5,2,4,3,2,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,3,5,1,2,4,3,5,2,4,6,1,1,2,4,3,5,2,1,1,4,6
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,2,1,4,2
0.8,1,4,2,3,5,1,5,2,4,3,1,2,3,5,1,5,3,2,2,4,3
0.8,1,4,1,2,5,1,5,2,4,3,1,1,2,5,1,4,2,1,1,4,3
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,1,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,2,1,3,4,1,5,3,2,1,4,3
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,6,5,3,2,1,4,6
0.8,2,5,1,3,4,2,5,1,4,6,2,1,3,4,6,5,3,1,1,4,6
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,1,1,4,3
0.8,1,5,1,3,4,2,5,1,6,3,2,1,3,4,5,6,3,2,1,4,2
0.8,2,5,1,3,4,2,5,1,4,6,1,2,3,4,6,5,3,2,1,4,6
0.8,1,5,2,3,4,1,5,2,4,6,1,2,3,4,1,5,3,2,2,4,6
0.8,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
0.8,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,4,6,1,5,4,2,2,4,3
0.8,1,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,1,5,1,3,4,2,5,1,4,2,1,1,3,4,2,4,3,1,1,4,2
0.8,1,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
0.8,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,5,4,2,1,6,1
0.8,3,5,2,3,4,1,5,2,4,6,1,2,3,4,1,5,3,2,2,4,6
0.8,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
0.8,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,5,1
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,2,1,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,4,6,1,5,4,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,3,5,2,4,5,1,5,2,4,3,1,2,4,5,1,5,4,2,2,5,3
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,1,5,1,3,4,2,5,1,4,6,2,1,3,4,2,5,3,1,1,4,6
0.8,2,5,1,3,4,2,5,1,4,6,1,2,3,4,6,5,3,2,1,4,6
0.8,3,5,2,4,5,1,5,3,6,4,2,1,3,4,1,5,4,2,1,6,1
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,1,5,1,3,4,2,5,1,6,5,2,1,3,4,5,5,3,1,1,4,5
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,2,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,5,4,2,1,6,1
0.8,1,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
0.8,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
0.8,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
0.8,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,4,3,2,2,4,3
0,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,1,5,1,3,4,2,5,2,6,3,1,1,3,4,2,5,3,2,1,4,2
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,6
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,4,3,2,2,4,3
1,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,5,1
1,2,5,2,4,5,3,5,2,4,6,1,2,3,5,3,5,4,2,2,4,6
1,1,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,2,1,1,4,3
1,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,4,6,2,2,4,3
1,4,2,1,3,5,6,5,1,4,2,1,1,3,5,6,4,3,2,1,4,6
1,1,5,1,3,4,2,5,2,4,6,1,1,3,4,2,5,3,1,1,4,2
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,1,1,4,3
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,3
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,,3,2,2,4,3
1,1,4,1,3,5,2,5,2,4,3,1,1,3,5,2,4,3,2,1,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,1,1,4,3
1,3,5,2,4,5,1,5,3,6,4,1,2,4,6,1,5,4,2,2,6,1
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,2,5,3,2,1,4,3
1,3,5,1,2,4,2,5,1,4,3,2,1,3,4,6,5,2,1,1,4,3
1,1,4,2,3,5,1,5,2,4,3,1,2,3,5,1,5,3,2,2,4,3
1,2,5,2,3,4,2,5,2,4,3,2,1,3,4,5,4,3,1,2,4,3
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,,,,,,,,,,,,,,,,,,,,,
1,3,5,2,4,5,1,5,2,3,4,1,2,3,5,1,5,4,2,2,5,1
1,,,,,,,,,,,,,,,,,,,,,
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,5,3,1,1,4,3
1,2,,1,3,4,6,5,2,4,6,1,1,3,4,6,5,3,2,1,4,6
1,3,5,2,4,5,1,5,3,4,6,1,2,3,4,1,5,4,2,2,5,6
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,3,1,1,4,3
1,3,5,2,4,5,1,5,2,6,5,1,2,3,4,1,5,4,2,2,5,1
1,3,4,1,2,5,6,5,2,3,4,1,1,2,4,6,5,3,1,1,4,6
1,,4,1,3,5,2,6,2,5,4,1,1,3,4,2,6,4,1,1,5,2
1,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,6,4
1,3,5,2,4,5,1,5,2,4,6,1,2,3,4,1,5,4,2,2,4,6
1,3,5,2,4,5,1,5,3,6,4,2,1,3,4,1,5,4,2,1,6,1
1,1,4,1,3,5,2,5,2,4,3,1,1,3,5,2,6,4,1,1,4,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,3,5,2,4,5,1,5,2,6,3,1,2,4,5,1,5,4,2,2,6,3
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,6,5,3,2,1,4,6
1,1,5,1,3,4,2,5,1,4,5,1,2,3,4,5,6,3,2,1,4,5
1,2,5,2,4,3,1,5,2,3,4,1,2,4,3,1,5,4,2,2,3,1
1,1,4,1,2,5,1,5,2,3,2,1,1,2,6,1,5,3,1,1,4,2
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
1,2,4,2,3,5,1,5,3,4,6,1,2,3,4,1,5,3,2,2,4,6
1,1,5,1,3,4,2,5,1,6,3,2,1,3,4,5,6,2,1,1,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,3,1,1,4,3
1,2,5,1,3,4,2,5,1,4,6,1,1,3,4,6,4,3,2,1,4,6
1,3,5,1,2,4,3,5,1,4,2,1,1,2,4,3,5,2,1,1,4,2
1,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,1,1,4,2
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,3,5,2,4,5,1,5,2,4,3,1,2,4,6,1,5,4,2,2,5,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,3
1,1,5,1,3,4,2,5,2,4,3,1,6,3,4,2,4,3,1,1,4,3
1,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,5,4,2,2,4,3
1,3,5,1,3,4,2,5,1,4,2,1,1,3,4,2,4,3,1,1,4,2
1,1,4,2,3,5,1,5,2,4,3,1,2,3,5,1,5,3,2,2,4,3
1,1,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,1,5,1,3,4,2,5,1,4,6,2,1,3,4,2,4,3,1,1,4,2
1,1,4,1,3,5,2,5,2,4,6,1,1,3,5,6,4,3,2,1,4,6
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,5,3,2,1,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,5,4,3,2,1,4,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
1,3,5,2,4,5,1,5,2,4,3,1,2,3,5,1,4,3,2,2,4,3
1,1,5,1,3,4,2,5,2,4,3,1,1,3,4,2,4,3,1,1,4,3
1,2,5,1,3,4,2,5,1,4,3,1,1,3,4,2,4,3,1,1,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
1,2,5,1,3,4,2,5,1,4,3,1,2,3,4,5,4,3,2,1,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,6,5,3,1,1,4,3
1,,,,,,,,,,,,,,,,,,,,,
1,3,5,2,4,5,1,5,2,6,4,1,2,3,5,1,5,4,2,2,,1
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,1
1,3,5,1,2,4,3,5,1,4,2,1,2,3,4,3,4,2,1,1,4,2
1,3,5,2,4,5,1,5,3,6,4,2,1,3,5,1,5,4,2,1,6,1
1,3,5,2,4,5,1,5,3,6,4,2,1,3,4,1,5,4,2,2,5,1
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
1,3,5,2,3,4,3,5,2,4,6,2,1,3,4,6,5,3,2,1,4,6
1,2,5,2,3,4,1,5,2,3,4,1,2,3,4,1,5,3,2,2,4,1
1,3,5,2,4,5,1,5,2,6,4,1,2,3,6,1,5,4,2,2,6,1
1,2,5,1,3,4,2,5,1,4,6,1,1,3,4,6,5,3,2,1,4,6
1,1,5,1,3,4,2,5,2,4,6,1,1,3,4,2,5,3,2,1,4,6
1,1,5,1,3,4,2,5,1,4,5,1,2,3,4,5,4,3,2,1,4,5
1,1,4,1,3,5,2,5,2,4,3,1,1,3,4,2,4,3,2,1,4,3
1,1,4,1,2,5,1,5,2,4,3,1,1,2,6,1,4,3,1,1,4,3
1,1,5,1,3,4,2,5,1,4,3,2,1,3,4,2,5,3,2,1,4,3
1,3,5,2,4,5,1,5,2,6,3,1,2,4,6,1,5,4,2,2,6,3
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,4,3,2,2,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
1,3,5,2,3,4,1,5,2,4,6,1,2,3,4,1,5,3,2,2,4,6
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,1,5,1,3,4,2,5,1,6,2,1,1,3,4,2,5,3,1,1,4,2
1,2,5,1,3,4,2,5,1,6,3,2,1,3,4,5,6,3,1,1,4,3
1,3,5,2,4,5,1,5,2,4,3,1,2,4,5,1,5,4,2,2,5,3
1,2,5,2,3,4,1,5,2,4,3,1,2,3,4,1,5,3,2,2,4,3
1,2,5,1,3,4,2,5,1,4,3,2,1,3,4,2,4,3,1,1,4,3
1,3,5,2,4,5,1,5,3,6,4,2,1,4,6,1,5,4,2,1,6,1
